text,intent
please what is the speed of light,out_of_scope
can you what is the meaning of life,out_of_scope
please i need a daily reminder for my prescription,medication_reminder
please good evening,greeting
i need a referral to a consultant right now,book_appointment
i want push notifications instead right now,update_preferences
my card has been used fraudulently,report_fraud
please how to raise my credit score,check_credit_score
find a vegetarian friendly restaurant,restaurant_suggest
can you create a reminder for 3pm,set_reminder
please request pto for my holiday,submit_leave
do i have private health insurance please,insurance_query
do i have enough days for a 5 day break please,check_pto
please how long since my last oil change,car_maintenance
i'd like to need a daily reminder for my prescription,medication_reminder
can you when is my car service due,car_maintenance
please show me the office schedule,work_schedule
please how long does a transfer take,make_transfer
can you remind me later please,set_reminder
i finished the report mark it done right now,manage_todo
can you is my car insurance up to date,car_maintenance
block my card immediately suspicious activity please,report_fraud
can we set up a zoom call please,schedule_meeting
i finished the report mark it done,manage_todo
please what is due at the end of the month,check_bill_due
track my food delivery,order_food
what flights are available to amsterdam please,book_flight
find me somewhere to eat please,restaurant_suggest
what is my leave entitlement,check_pto
can you i need to review the project timeline,task_management
please i need to know my balance,check_balance
i want to personalise my assistant please,update_preferences
search for business class flights right now,book_flight
suggest a plant based dinner,dietary_advice
show my heart rate data please,track_fitness
set a countdown timer please,set_alarm
i require ideas for a high protein breakfast,dietary_advice
tell me a joke,out_of_scope
how active have i been this week,track_fitness
i need a referral to a consultant please,book_appointment
when does my car tax expire right now,car_maintenance
please can i take a week off,check_pto
why did my credit score drop,check_credit_score
tell me about my upcoming flight right now,check_flight_status
can you what meetings do i have this week,check_schedule
are there any bills i might miss please,check_bill_due
please add a reminder to my list,set_reminder
what documents do i need to travel right now,travel_documents
how do i cancel my trip please,cancel_booking
can you update the status of my task,manage_todo
i need pet friendly accommodation please,book_hotel
can you i need a 25 minute timer,set_alarm
can you suggest something i can cook with chicken,dietary_advice
can you show me my flight booking,check_flight_status
what is the speed of light,out_of_scope
are you able to book flights right now,capabilities
has my credit score changed please,check_credit_score
what are the best restaurants nearby right now,restaurant_suggest
how is my credit rating right now,check_credit_score
i want to stay in a 4 star hotel,book_hotel
i would like to play a trivia game,out_of_scope
please i want to stay in a 4 star hotel,book_hotel
can you what is hurting my credit score,check_credit_score
i require to schedule a one to one,schedule_meeting
make a gp appointment for tomorrow right now,book_appointment
has my flight been cancelled right now,check_flight_status
show my current account funds,check_balance
i need to eat more vegetables suggest something,dietary_advice
can you update my preferences,update_preferences
i'd like to finished the presentation mark it done,task_management
can you organise a planning session for the team,schedule_meeting
what are my options for eating out tonight,restaurant_suggest
remove all alarms please,set_alarm
please what is my agenda for today,check_schedule
show me my commitments this week right now,check_schedule
what are some gluten free snacks right now,dietary_advice
check my appointments for this week,check_schedule
i have a meeting to arrange please,schedule_meeting
please can you remind me later,set_reminder
is my schedule clear for monday,check_schedule
find me an easy vegetarian recipe right now,dietary_advice
how to raise my credit score please,check_credit_score
can you i need to visit the hospital,book_appointment
can you has my credit score changed,check_credit_score
someone used my card without permission right now,report_fraud
